vehicle_id,stop_time,dep_time,arr_time,drive_time,occupancy
106,2263,199334,200194,860,2
121,600,195900,200273,4373,0
125,600,200129,200320,191,1
109,600,199100,200442,1342,0
41,600,196430,200570,4140,0
43,600,194130,200570,6440,0
166,600,198490,200578,2088,0
69,600,198690,200620,1930,0
149,600,198630,200621,1991,0
143,600,196476,200630,4154,1
193,600,194620,200650,6030,1
122,600,196340,200761,4421,0
178,600,195640,200801,5161,0
52,600,197190,200818,3628,0
77,600,198105,200866,2761,1
68,600,195041,200980,5939,2
6,600,201080,201080,0,0
152,600,199385,201086,1701,0
133,600,196486,201092,4606,0
47,600,197650,201320,3670,0
199,17,196107,201355,5248,1
127,600,189076,201407,12331,1
67,600,195690,201446,5756,0
120,600,196288,201446,5158,0
126,600,198484,201456,2972,1
191,600,193414,201457,8043,1
14,600,198827,201482,2655,0
37,600,197033,201489,4456,1
97,600,197260,201521,4261,0
166,600,201178,201570,392,1
183,600,197954,201625,3671,1
112,600,199280,201659,2379,0
39,600,199934,201678,1744,0
170,600,200830,201752,922,0
64,600,193245,201753,8508,1
48,600,195480,201772,6292,0
63,101,199551,201784,2233,1
101,600,200910,201939,1029,0
42,600,194860,201952,7092,1
123,600,195870,202007,6137,0
103,600,199447,202188,2741,1
185,600,196691,202196,5505,0
31,600,198854,202200,3346,1
69,600,201220,202200,980,1
87,600,196307,202211,5904,1
26,600,197210,202242,5032,0
23,600,198210,202277,4067,1
11,600,202290,202290,0,0
46,600,199900,202378,2478,1
92,600,196330,202380,6050,1
50,600,200610,202409,1799,0
118,600,198040,202428,4388,1
183,600,202225,202450,225,1
187,600,198760,202452,3692,1
91,600,197480,202503,5023,0
78,600,198290,202511,4221,0
162,49,199829,202600,2771,1
181,600,201470,202641,1171,0
196,600,196850,202705,5855,0
9,600,197190,202711,5521,0
107,600,202760,202760,0,0
109,600,201042,202868,1826,1
58,600,200355,202889,2534,1
90,600,197950,202929,4979,1
116,600,200130,202957,2827,0
161,600,199590,203018,3428,0
75,600,199533,203049,3516,1
77,600,201466,203126,1660,0
160,600,197502,203130,5628,2
112,600,202259,203157,898,1
141,600,198700,203189,4489,0
86,600,199433,203213,3780,2
62,600,201390,203236,1846,0
76,600,197290,203360,6070,0
69,100,202300,203537,1237,1
32,600,183370,203547,20177,1
164,600,200115,203560,3445,1
143,5,200635,203585,2950,1
125,195,200515,203591,3076,1
147,600,192704,203607,10903,1
123,600,202607,203750,1143,1
65,600,193642,203759,10117,1
134,600,199967,203775,3808,2
133,600,201692,203814,2122,1
186,31,199481,203824,4343,1
167,600,194598,203930,9332,1
135,600,200560,203953,3393,0
193,63,200713,204049,3336,1
79,600,198256,204136,5880,1
188,600,198560,204170,5610,1
124,600,197460,204320,6860,1
108,600,202470,204328,1858,0
148,600,200595,204348,3753,1
63,600,202384,204350,1966,2
70,600,201200,204374,3174,0
164,600,204390,204390,0,0
21,600,200331,204442,4111,1
12,600,197408,204457,7049,1
33,600,199600,204488,4888,0
91,600,203103,204555,1452,1
183,7,202457,204556,2099,1
19,600,199955,204560,4605,0
190,600,197388,204602,7214,0
5,600,201260,204674,3414,0
119,600,202750,204680,1930,0
30,600,199465,204682,5217,1
95,600,197923,204709,6786,1
47,600,201920,204761,2841,1
138,600,198490,204778,6288,0
169,600,199180,204817,5637,0
45,600,200627,204834,4207,1
40,600,200384,204874,4490,2
161,600,203618,204900,1282,1
189,600,186698,204935,18237,1
29,600,201630,204965,3335,0
145,600,196159,205001,8842,1
14,600,202082,205180,3098,1
61,600,201000,205220,4220,0
124,89,204409,205341,932,1
104,600,198100,205351,7251,0
53,600,201370,205367,3997,0
39,600,202278,205402,3124,1
89,600,201280,205405,4125,0
197,600,198487,205459,6972,1
178,600,201401,205460,4059,1
3,600,200110,205463,5353,0
92,58,202438,205474,3036,1
142,600,200734,205502,4768,1
77,600,203726,205520,1794,1
101,600,202539,205534,2995,1
46,600,202978,205570,2592,1
68,645,201625,205583,3958,2
96,600,198690,205653,6963,0
4,600,200026,205688,5662,1
37,600,203580,205720,2140,0
175,600,200702,205720,5018,1
168,600,199700,205745,6045,0
41,600,201170,205813,4643,1
126,600,202056,205854,3798,0
118,600,203028,205884,2856,0
120,600,202046,206002,3956,1
26,600,202842,206157,3315,1
5,600,205274,206230,956,1
166,131,201701,206231,4530,1
122,600,201361,206349,4988,1
12,600,205057,206386,1329,0
109,600,203468,206407,2939,0
174,600,203050,206553,3503,0
163,600,203490,206571,3081,0
6,600,201680,206622,4942,1
195,600,200450,206629,6179,1
71,600,197804,206674,8870,1
28,600,197851,206746,8895,1
188,39,204209,206760,2551,1
119,600,205280,206850,1570,1
77,89,205609,206854,1245,1
167,9,203939,206906,2967,1
136,600,200720,206975,6255,0
20,600,198668,207009,8341,1
183,600,205156,207023,1867,2
158,600,202090,207044,4954,0
123,128,203878,207048,3170,1
73,600,201060,207070,6010,0
152,600,201686,207230,5544,1
2,600,198047,207490,9443,1
69,600,204137,207562,3425,2
178,0,205460,207570,2110,1
192,600,200060,207579,7519,0
48,600,202372,207586,5214,1
186,600,204424,207613,3189,2
107,600,203360,207656,4296,1
23,600,202877,207679,4802,0
131,600,201520,207705,6185,0
